Gen=195,Mean=-137.01774055406565,StdDev=65.35508988180464,Best=-63.71907092856895
Gen=196,Mean=-144.18538047089308,StdDev=71.57897707053252,Best=-71.70446290155166
Gen=197,Mean=-134.32528610177155,StdDev=57.06310904320954,Best=-66.52337934891763
Gen=198,Mean=-145.15948643812024,StdDev=68.82376985476161,Best=-69.83086710044492
Gen=199,Mean=-132.70237039266934,StdDev=68.42286161924812,Best=-64.37072315890198
Gen=200,Mean=-150.96705241293319,StdDev=62.78619343255873,Best=-72.83344012196595
Gen=201,Mean=-127.29213488088595,StdDev=58.24869180905541,Best=-70.57655418054922
Gen=202,Mean=-110.37431174874654,StdDev=48.83765766281709,Best=-58.544342168991875
Gen=203,Mean=-110.83748495134209,StdDev=52.86525919411548,Best=-59.323435504023195
Gen=204,Mean=-110.19776378152949,StdDev=57.153239256845396,Best=-50.86619702710239
Gen=205,Mean=-170.59654663478472,StdDev=75.10199715244406,Best=-69.26088362127645
Gen=206,Mean=-158.36564112801906,StdDev=63.26387365717875,Best=-74.33807907122701
Gen=207,Mean=-165.29295800747167,StdDev=67.91869501941419,Best=-77.56365128073845
Gen=208,Mean=-150.90006258786016,StdDev=67.08810856612298,Best=-72.20616317185119
Gen=209,Mean=-153.9368470898801,StdDev=57.52771860613698,Best=-76.69015582198278

Gen=209,Mean=-160.24452394523357,StdDev=59.540673035879045,Best=-72.55108545018469
Gen=210,Mean=-106.43352851536885,StdDev=42.080244863453025,Best=-56.336311558354616
Gen=211,Mean=-163.65505340186306,StdDev=62.71721770003309,Best=-77.86770832636594
Gen=212,Mean=-163.30402627842065,StdDev=67.47655223303049,Best=-77.29708920780911
Gen=213,Mean=-162.31606126122114,StdDev=61.29833241323555,Best=-76.69543663087133
Gen=214,Mean=-152.04078638429553,StdDev=72.10743287376822,Best=-60.16203121570946
Gen=215,Mean=-160.3581478173163,StdDev=67.68141050982699,Best=-77.88594224890652
Gen=216,Mean=-153.15933515098808,StdDev=57.94746117050598,Best=-73.17096418662256
Gen=217,Mean=-155.3302522854941,StdDev=68.75055217905351,Best=-72.4785485505884
Gen=218,Mean=-192.83549405708493,StdDev=73.90770076088144,Best=-86.19443137465436
Gen=219,Mean=-163.02776432028026,StdDev=74.12370916738546,Best=-73.05292601942786
Gen=220,Mean=-157.3596248351048,StdDev=77.10757337483177,Best=-65.46663272232657
Gen=221,Mean=-176.2380083032962,StdDev=86.01905445473865,Best=-80.02555841729566
Gen=222,Mean=-171.2409426091809,StdDev=70.30606783428603,Best=-71.58330811020122
Gen=223,Mean=-162.4484502131174,StdDev=75.3602376811294,Best=-76.95700098106734
Gen=224,Mean=-144.90133398132966,StdDev=65.2906357024586,Best=-73.13596926273692
Gen=225,Mean=-156.41874110431482,StdDev=71.71729102065504,Best=-73.99722967787375
Gen=226,Mean=-150.1895016080621,StdDev=62.09113307648604,Best=-73.2627463312699
Gen=227,Mean=-141.11121037250555,StdDev=64.2817634108343,Best=-74.4329899977154
Gen=228,Mean=-162.6227396861901,StdDev=73.52753726977147,Best=-72.09271807887396
Gen=229,Mean=-155.37163042146486,StdDev=63.05347222933653,Best=-74.2607567965746
Gen=230,Mean=-139.68617499060787,StdDev=58.03635771215556,Best=-77.17881833767605
Gen=231,Mean=-129.50472641392363,StdDev=51.62240440404532,Best=-72.62052051589826
Gen=232,Mean=-146.5253587893786,StdDev=64.92359995905856,Best=-75.67357530869015
Gen=233,Mean=-151.51830199504428,StdDev=74.23595800243,Best=-74.92169245285373
Gen=234,Mean=-167.1058375428003,StdDev=70.876610804406,Best=-79.53263481112643
Gen=235,Mean=-148.56094674551622,StdDev=63.925655272949,Best=-76.13842656635347
Gen=236,Mean=-142.48079940605643,StdDev=69.23011122778237,Best=-67.47732952629349
Gen=237,Mean=-138.74584546986844,StdDev=60.26283319635223,Best=-73.38160532449533
Gen=238,Mean=-133.87223658090383,StdDev=59.57529246950032,Best=-64.47449107980613
Gen=239,Mean=-134.4487311021204,StdDev=58.83359078816908,Best=-62.19332761639306
Gen=240,Mean=-136.6621425421779,StdDev=53.38818498302265,Best=-78.41760006529147
Gen=241,Mean=-152.05734301970867,StdDev=85.29283225328291,Best=-66.90956583329472
Gen=242,Mean=-141.77427544452053,StdDev=59.24817990606298,Best=-78.57429605157147
Gen=243,Mean=-150.03170998192738,StdDev=70.08169518425494,Best=-67.04147969727399
Gen=244,Mean=-132.2895844807949,StdDev=63.014356601481126,Best=-69.6847903060632
Gen=245,Mean=-162.6191467786142,StdDev=67.9448511735475,Best=-77.9217556270391
Gen=246,Mean=-154.83027498651262,StdDev=65.71103368233436,Best=-73.00034246495012
Gen=247,Mean=-164.4462293451782,StdDev=67.62107477815657,Best=-76.37957842250768
Gen=248,Mean=-164.7290611263999,StdDev=64.57607235203143,Best=-73.39359645091662
Gen=249,Mean=-164.42346015835597,StdDev=72.99360279883113,Best=-64.31267371210747
Gen=250,Mean=-144.44821851152201,StdDev=68.3479126883008,Best=-74.00182430183732
Gen=251,Mean=-126.29288023543411,StdDev=54.837162598353835,Best=-70.78848776460761
Gen=252,Mean=-148.0937127731712,StdDev=68.7599122822119,Best=-73.62411289788149
Gen=253,Mean=-155.61918123253906,StdDev=67.29009535224469,Best=-75.71221830061512
Gen=254,Mean=-148.05087160671067,StdDev=69.1991265587456,Best=-67.63312797734554
Gen=255,Mean=-131.80956301310616,StdDev=60.31021553844753,Best=-66.53307448179439
Gen=256,Mean=-143.39675561938537,StdDev=65.46092939940779,Best=-74.558902888924
Gen=257,Mean=-135.2325135654438,StdDev=57.07879268845886,Best=-77.48948315739369
Gen=258,Mean=-133.33858124519162,StdDev=55.35140333830246,Best=-76.12522577963234
Gen=259,Mean=-128.61678779406512,StdDev=57.03124141675698,Best=-68.26360670225388
Gen=260,Mean=-119.17328361515638,StdDev=42.081890076153854,Best=-73.79674789582533
Gen=261,Mean=-145.6100222475273,StdDev=66.9879378774613,Best=-75.72086898603317
Gen=262,Mean=-135.44597059742392,StdDev=59.715719445735324,Best=-75.15131402710135
Gen=263,Mean=-96.11010294669988,StdDev=34.375148168040674,Best=-54.10184839725904
Gen=264,Mean=-153.6240807648452,StdDev=71.0412979129487,Best=-67.00858153997889
Gen=265,Mean=-135.88311399302685,StdDev=52.40507448289777,Best=-73.03054155625577
Gen=266,Mean=-101.32156497997585,StdDev=41.05264632162631,Best=-54.03711687349724
Gen=267,Mean=-137.59174590453202,StdDev=53.126368772415745,Best=-70.35730239285756
Gen=268,Mean=-118.803807910673,StdDev=51.76730556947994,Best=-61.818605613520596
Gen=269,Mean=-125.62501903153938,StdDev=49.933162260419415,Best=-72.13757689304514
Gen=270,Mean=-141.68187536830348,StdDev=50.73887850672826,Best=-70.96921867965013
Gen=271,Mean=-117.85977508596265,StdDev=43.145288464516135,Best=-69.51798328490261
Gen=272,Mean=-105.5916211349855,StdDev=43.38638779716152,Best=-58.513075461814516
Gen=273,Mean=-170.05520982136298,StdDev=70.91395076155487,Best=-72.9170076182505
Gen=274,Mean=-139.37110831729262,StdDev=54.23398718893419,Best=-75.41041042190395
Gen=275,Mean=-142.99938366857106,StdDev=58.27283475521686,Best=-77.16540675717326
Gen=276,Mean=-151.13746921430743,StdDev=62.47689012342304,Best=-77.99096101472273
Gen=277,Mean=-97.79717119079845,StdDev=42.46053823348984,Best=-57.593836475789665
Gen=278,Mean=-144.51849074601247,StdDev=58.347787725797225,Best=-76.79342419764859
Gen=279,Mean=-137.49304231177985,StdDev=68.77757931078352,Best=-63.50685002422967
Gen=280,Mean=-87.06391881099418,StdDev=33.689012174188356,Best=-47.82196148214751
Gen=281,Mean=-146.88787190620948,StdDev=62.332331793901204,Best=-74.14694868974718
Gen=282,Mean=-139.8711672261666,StdDev=52.22934308211946,Best=-69.02955888603084
Gen=283,Mean=-155.95265196651653,StdDev=70.90015052600788,Best=-77.80880412909583
Gen=284,Mean=-108.42219714177965,StdDev=42.912271752367786,Best=-60.12744797511366
Gen=285,Mean=-137.81525929287588,StdDev=53.25188265251646,Best=-72.76702549919159
Gen=286,Mean=-142.95655376275096,StdDev=56.96291456972425,Best=-80.5791536316931
Gen=287,Mean=-127.68200599766953,StdDev=58.685803601987715,Best=-61.66230615213803
Gen=288,Mean=-140.02999732881008,StdDev=68.31515386862168,Best=-72.01638702406557
Gen=289,Mean=-134.07807326606567,StdDev=68.1860767991497,Best=-71.21362229236763
Gen=290,Mean=-131.67341534494696,StdDev=57.00457517951583,Best=-75.23250627222252
Gen=291,Mean=-151.9651187718327,StdDev=59.20516596263177,Best=-77.90500625762121
Gen=292,Mean=-99.04813417746814,StdDev=42.52927951379221,Best=-56.97165962125379
Gen=293,Mean=-135.36462887723235,StdDev=62.058210165369594,Best=-65.38440180960593
Gen=294,Mean=-116.62762136448572,StdDev=50.81580792295012,Best=-59.84229273682618
Gen=295,Mean=-144.7421914766082,StdDev=57.558419944860184,Best=-72.37299220012946
Gen=296,Mean=-119.41516397864741,StdDev=50.74616549014056,Best=-68.67095455867786
Gen=297,Mean=-123.43084418955334,StdDev=51.33516730910901,Best=-65.85856056732489
Gen=298,Mean=-107.37064085934007,StdDev=49.74849325813416,Best=-57.748333309282614
Gen=299,Mean=-132.1047785760377,StdDev=44.82353820679536,Best=-73.73154006258109
Gen=300,Mean=-132.92187111886008,StdDev=53.22983353591426,Best=-71.21678173015121
Gen=301,Mean=-149.7838973394235,StdDev=55.52171104903954,Best=-75.25749132146247
Gen=302,Mean=-147.2577731708799,StdDev=68.63357954204113,Best=-70.70586962904848
Gen=303,Mean=-119.33536030100367,StdDev=42.95653828964384,Best=-73.05361045150336
Gen=304,Mean=-126.40663993398557,StdDev=57.3560439761995,Best=-68.05843077826582
Gen=305,Mean=-123.99759626659664,StdDev=65.88786549969633,Best=-58.217007824174544
Gen=306,Mean=-100.0631665905812,StdDev=44.33850123612198,Best=-50.8865404601256
Gen=307,Mean=-115.89891925681914,StdDev=45.218135909182735,Best=-66.56598230327559
Gen=308,Mean=-91.79683054006314,StdDev=36.59315650226042,Best=-50.56421659632432
Gen=309,Mean=-132.3038249132145,StdDev=66.91832344981052,Best=-64.16993065291562
Gen=310,Mean=-89.2126705055247,StdDev=36.572719631888035,Best=-56.037041320897735
Gen=311,Mean=-120.62194733938998,StdDev=54.67703283878379,Best=-60.000416665219916
Gen=312,Mean=-127.28082646403327,StdDev=57.19891445327136,Best=-71.96429670329586
